Step Type,Target Page,Step Number,Step Title,Option
Incubation,WsRepo : Worksheet of Quantification of KRN23 in Human Serum Samples Using a Validated Electrochemiluminescence Method,8,8,Interval Duration
WashProgram Step,WsRepo : Worksheet of Quantification of KRN23 in Human Serum Samples Using a Validated Electrochemiluminescence Method,9,9,
Customized Step,WsRepo : Worksheet of Quantification of KRN23 in Human Serum Samples Using a Validated Electrochemiluminescence Method,10,10,
Interval Step,WsRepo : TEST WS,11,11,Interval Duration
Instructional Step,WsRepo : BAL-17-388-011-PWS.02 Confirmatory_Domain Specificity Assay Procedure,1,1,
Incubation,WsRepo : BAL-17-388-011-PWS.02 Confirmatory_Domain Specificity Assay Procedure,2,2,Interval Duration
Incubation,WsRepo : BAL-17-388-011-PWS.02 Confirmatory_Domain Specificity Assay Procedure,3,3,Interval Duration
Incubation,WsRepo : BAL-17-388-011-PWS.02 Confirmatory_Domain Specificity Assay Procedure,4,4,Interval Duration
WashProgram Step,WsRepo : BAL-17-388-011-PWS.02 Confirmatory_Domain Specificity Assay Procedure,5,5,
WashProgram Step,WsRepo : BAL-17-388-011-PWS.02 Confirmatory_Domain Specificity Assay Procedure,4,4,
Incubation,WsRepo : BAL-17-388-011-PWS.02 Confirmatory_Domain Specificity Assay Procedure,4,4,No Less than Lower Bound
WashProgram Step,WsRepo : BAL-17-388-011-PWS.02 Confirmatory_Domain Specificity Assay Procedure,5,5,
Incubation,WsRepo : BAL-17-388-011-PWS.02 Confirmatory_Domain Specificity Assay Procedure,6,6,Interval Duration
WashProgram Step,WsRepo : BAL-17-388-011-PWS.02 Confirmatory_Domain Specificity Assay Procedure,7,7,
Instructional Step,WsRepo : BAL-17-388-011-PWS.02 Confirmatory_Domain Specificity Assay Procedure,8,8,
Instructional Step,WsRepo : BAL-17-388-011-PWS.02 Confirmatory_Domain Specificity Assay Procedure,9,9,
Instructional Step,WsRepo : ZTS-00521310 PK Feline Plasma Sample Analysis,1,1,
Instructional Step,WsRepo : ZTS-00521310 PK Feline Plasma Sample Analysis,2,2,
Instructional Step,WsRepo : ZTS-00521310 PK Feline Plasma Sample Analysis,3,3,
Interval Step,WsRepo : ZTS-00521310 PK Feline Plasma Sample Analysis,4,4,Interval Duration
Instructional Step,WsRepo : ZTS-00521310 PK Feline Plasma Sample Analysis,5,5,
Customized Step,WsRepo : ZTS-00521310 PK Feline Plasma Sample Analysis,6,6,
Interval Step,WsRepo : ZTS-00521310 PK Feline Plasma Sample Analysis,6,6,No Less than Lower Bound
Instructional Step,WsRepo : ZTS-00521310 PK Feline Plasma Sample Analysis,7,7,
Instructional Step,WsRepo : ZTS-00521310 PK Feline Plasma Sample Analysis,8,8,
Interval Step,WsRepo : ZTS-00521310 PK Feline Plasma Sample Analysis,9,9,Interval Duration
Instructional Step,WsRepo : ZTS-00521310 PK Feline Plasma Sample Analysis,10,10,
Instructional Step,WsRepo : ZTS-00521310 PK Feline Plasma Sample Analysis,11,11,
Instructional Step,WsRepo : ZTS-00521310 PK Feline Plasma Sample Analysis,12,12,
Instructional Step,WsRepo : ZTS-00521310 PK Feline Plasma Sample Analysis,13,13,
Instructional Step,WsRepo : ZTS-00521310 PK Feline Plasma Sample Analysis,14,14,
Instructional Step,WsRepo : ZTS-00521310 PK Feline Plasma Sample Analysis,15,15,
Instructional Step,WsRepo : ZTS-00008183 PK Assay Sample Analysis,1,1,
Instructional Step,WsRepo : ZTS-00008183 PK Assay Sample Analysis,2,2,
Instructional Step,WsRepo : ZTS-00008183 PK Assay Sample Analysis,3,3,
Interval Step,WsRepo : ZTS-00008183 PK Assay Sample Analysis,4,4,No Less than Lower Bound
Instructional Step,WsRepo : ZTS-00008185 PK Assay Sample Analysis,1,1,
Instructional Step,WsRepo : ZTS-00008185 PK Assay Sample Analysis,2,2,
Instructional Step,WsRepo : ZTS-00008185 PK Assay Sample Analysis,3,3,
Interval Step,WsRepo : ZTS-00008185 PK Assay Sample Analysis,4,4,No Less than Lower Bound
Instructional Step,WsRepo : ZTS-00008185 PK Assay Sample Analysis,5,5,
Instructional Step,WsRepo : ZTS-00008185 PK Assay Sample Analysis,6,6,
Instructional Step,WsRepo : ZTS-00008185 PK Assay Sample Analysis,7,7,
Interval Step,WsRepo : ZTS-00008185 PK Assay Sample Analysis,8,8,Interval Duration
Instructional Step,WsRepo : ZTS-00008185 PK Assay Sample Analysis,9,9,
Instructional Step,WsRepo : ZTS-00008185 PK Assay Sample Analysis,10,10,
Instructional Step,WsRepo : ZTS-00008185 PK Assay Sample Analysis,11,11,
Instructional Step,WsRepo : ZTS-00008185 PK Assay Sample Analysis,12,12,
Instructional Step,WsRepo : ZTS-00008185 PK Assay Sample Analysis,13,13,
Instructional Step,WsRepo : ZTS-00008185 PK Assay Sample Analysis,14,14,
Instructional Step,WsRepo : Anti-ZTS-00008185 ADA Assay: Sample Analysis - Confirmatory,1,1,
Incubation,WsRepo : Anti-ZTS-00008185 ADA Assay: Sample Analysis - Confirmatory,2,2,Interval Duration
Incubation,WsRepo : Anti-ZTS-00008185 ADA Assay: Sample Analysis - Confirmatory,3,3,Interval Duration
Instructional Step,WsRepo : Anti-ZTS-00008185 ADA Assay: Sample Analysis - Confirmatory,4,4,
Instructional Step,WsRepo : Anti-ZTS-00008185 ADA Assay: Sample Analysis - Confirmatory,5,5,
Incubation,WsRepo : Anti-ZTS-00008185 ADA Assay: Sample Analysis - Confirmatory,6,6,Interval Duration
Instructional Step,WsRepo : Anti-ZTS-00008185 ADA Assay: Sample Analysis - Confirmatory,7,7,
Incubation,WsRepo : Anti-ZTS-00008185 ADA Assay: Sample Analysis - Confirmatory,8,8,Interval Duration
Instructional Step,WsRepo : Anti-ZTS-00008185 ADA Assay: Sample Analysis - Confirmatory,9,9,
Instructional Step,WsRepo : Anti-ZTS-00008185 ADA Assay: Sample Analysis - Confirmatory,10,10,
Instructional Step,WsRepo : Anti-ZTS-00008185 ADA Assay: Sample Analysis - Confirmatory,11,11,
Instructional Step,WsRepo : ZTS-00008183 PK Assay Sample Analysis,5,5,
Instructional Step,WsRepo : ZTS-00008183 PK Assay Sample Analysis,6,6,
Instructional Step,WsRepo : ZTS-00008183 PK Assay Sample Analysis,7,7,
Interval Step,WsRepo : ZTS-00008183 PK Assay Sample Analysis,8,8,Interval Duration
Instructional Step,WsRepo : ZTS-00008183 PK Assay Sample Analysis,9,9,
Instructional Step,WsRepo : ZTS-00008183 PK Assay Sample Analysis,10,10,
Instructional Step,WsRepo : ZTS-00008183 PK Assay Sample Analysis,11,11,
Instructional Step,WsRepo : ZTS-00008183 PK Assay Sample Analysis,12,12,
Instructional Step,WsRepo : ZTS-00008183 PK Assay Sample Analysis,13,13,
Instructional Step,WsRepo : ZTS-00008183 PK Assay Sample Analysis,14,14,
Interval Step,WsRepo : ZTS-00008185 PK Assay Sample Analysis,4,4,No Less than Lower Bound
Incubation,"WsRepo : Worksheet for Quantitation of rhASA (recombinant human Arylsulfatase A, SHP611) in Human CSF Samples",1,1,Interval Duration
Instructional Step,"WsRepo : Worksheet for Quantitation of rhASA (recombinant human Arylsulfatase A, SHP611) in Human CSF Samples",2,2,
Incubation,"WsRepo : Worksheet for Quantitation of rhASA (recombinant human Arylsulfatase A, SHP611) in Human CSF Samples",3,3,Interval Duration
Instructional Step,"WsRepo : Worksheet for Quantitation of rhASA (recombinant human Arylsulfatase A, SHP611) in Human CSF Samples",4,4,
Incubation,"WsRepo : Worksheet for Quantitation of rhASA (recombinant human Arylsulfatase A, SHP611) in Human CSF Samples",5,5,Interval Duration
Instructional Step,"WsRepo : Worksheet for Quantitation of rhASA (recombinant human Arylsulfatase A, SHP611) in Human CSF Samples",6,6,
Incubation,"WsRepo : Worksheet for Quantitation of rhASA (recombinant human Arylsulfatase A, SHP611) in Human CSF Samples",7,7,Interval Duration
Instructional Step,"WsRepo : Worksheet for Quantitation of rhASA (recombinant human Arylsulfatase A, SHP611) in Human CSF Samples",8,8,
Instructional Step,"WsRepo : Worksheet for Quantitation of rhASA (recombinant human Arylsulfatase A, SHP611) in Human CSF Samples",10,10,
Instructional Step,WsRepo : MSD Chemokine Panel 1 SA,1,1,
Instructional Step,WsRepo : MSD Chemokine Panel 1 SA,2,2,
Incubation,WsRepo : MSD Chemokine Panel 1 SA,3,3,Interval Duration
Instructional Step,WsRepo : MSD Chemokine Panel 1 SA,4,4,
Incubation,WsRepo : MSD Chemokine Panel 1 SA,5,5,Interval Duration
Instructional Step,WsRepo : MSD Chemokine Panel 1 SA,6,6,
Instructional Step,WsRepo : MSD Chemokine Panel 1 SA,7,7,
WashProgram Step,"WsRepo : Worksheet for Quantitation of rhASA (recombinant human Arylsulfatase A, SHP611) in Human CSF Samples",2,2,
Customized Step,"WsRepo : Worksheet for Quantitation of rhASA (recombinant human Arylsulfatase A, SHP611) in Human CSF Samples",Result,Assay Result,
WashProgram Step,"WsRepo : Worksheet for Quantitation of rhASA (recombinant human Arylsulfatase A, SHP611) in Human CSF Samples",4,4,
WashProgram Step,"WsRepo : Worksheet for Quantitation of rhASA (recombinant human Arylsulfatase A, SHP611) in Human CSF Samples",6,6,
WashProgram Step,"WsRepo : Worksheet for Quantitation of rhASA (recombinant human Arylsulfatase A, SHP611) in Human CSF Samples",8,8,
Instructional Step,WsRepo : MSD Cytokine Panel 1 SA,1,1,
Instructional Step,WsRepo : MSD Cytokine Panel 1 SA,2,2,
Incubation,WsRepo : MSD Cytokine Panel 1 SA,3,3,Interval Duration
Instructional Step,WsRepo : MSD Cytokine Panel 1 SA,4,4,
Incubation,WsRepo : MSD Cytokine Panel 1 SA,5,5,Interval Duration
Instructional Step,WsRepo : MSD Cytokine Panel 1 SA,6,6,
Instructional Step,WsRepo : MSD Cytokine Panel 1 SA,7,7,
Incubation,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM,1,1,Interval Duration
Instructional Step,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM,2,2,
Instructional Step,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM,3,3,
Incubation,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM,3,3,Interval Duration
Instructional Step,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM,4,4,
Instructional Step,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM,5,5,
Customized Step,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM,12,12,
Instructional Step,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM,6,6,
Instructional Step,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM,7,7,
Incubation,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM,8,8,Interval Duration
Instructional Step,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM,9,9,
Interval Step,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM,10,10,Interval Duration
Instructional Step,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM,9,9,
Instructional Step,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM,11,11,
Incubation,"WsRepo : Worksheet for Quantitation of rhASA (recombinant human Arylsulfatase A, SHP611) in Human CSF Samples",9,9,No Greater than Higher Bound
Incubation,"WsRepo : Worksheet for Quantitation of rhASA (recombinant human Arylsulfatase A, SHP611) in Human CSF Samples",9,9,No Greater than Higher Bound
Incubation,"WsRepo : Worksheet for Quantitation of rhASA (recombinant human Arylsulfatase A, SHP611) in Human CSF Samples",9,9,No Greater than Higher Bound
Incubation,"WsRepo : Worksheet for Quantitation of rhASA (recombinant human Arylsulfatase A, SHP611) in Human CSF Samples",9,9,No Greater than Higher Bound
Instructional Step,WsRepo : Anti-ZTS-00008183 ADA Assay: Sample Analysis – Screening and Titer,1,1,
Incubation,WsRepo : Anti-ZTS-00008183 ADA Assay: Sample Analysis – Screening and Titer,2,2,Interval Duration
Incubation,WsRepo : Anti-ZTS-00008183 ADA Assay: Sample Analysis – Screening and Titer,3,3,Interval Duration
Instructional Step,WsRepo : Anti-ZTS-00008183 ADA Assay: Sample Analysis – Screening and Titer,4,4,
Instructional Step,WsRepo : Anti-ZTS-00008183 ADA Assay: Sample Analysis – Screening and Titer,5,5,
Incubation,WsRepo : Anti-ZTS-00008183 ADA Assay: Sample Analysis – Screening and Titer,6,6,Interval Duration
Instructional Step,WsRepo : Anti-ZTS-00008183 ADA Assay: Sample Analysis – Screening and Titer,7,7,
Incubation,WsRepo : Anti-ZTS-00008183 ADA Assay: Sample Analysis – Screening and Titer,8,8,Interval Duration
Instructional Step,WsRepo : Anti-ZTS-00008183 ADA Assay: Sample Analysis – Screening and Titer,9,9,
Instructional Step,WsRepo : Anti-ZTS-00008183 ADA Assay: Sample Analysis – Screening and Titer,10,10,
Instructional Step,WsRepo : Anti-ZTS-00008183 ADA Assay: Sample Analysis – Screening and Titer,11,11,
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Anti-ATB200 Antibodies in Human Plasma Samples from ClinicalTrial ATB200-02 using a Validated Bridging Electrochemiluminescent Assay,1,1,
Incubation,WsRepo : Confirmatory Worksheet for Detection of Anti-ATB200 Antibodies in Human Plasma Samples from ClinicalTrial ATB200-02 using a Validated Bridging Electrochemiluminescent Assay,2,2,No Less than Lower Bound
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Anti-ATB200 Antibodies in Human Plasma Samples from ClinicalTrial ATB200-02 using a Validated Bridging Electrochemiluminescent Assay,3,3,
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Anti-ATB200 Antibodies in Human Plasma Samples from ClinicalTrial ATB200-02 using a Validated Bridging Electrochemiluminescent Assay,4,4,
Incubation,WsRepo : Confirmatory Worksheet for Detection of Anti-ATB200 Antibodies in Human Plasma Samples from ClinicalTrial ATB200-02 using a Validated Bridging Electrochemiluminescent Assay,5,5,Interval Duration
Incubation,WsRepo : Confirmatory Worksheet for Detection of Anti-ATB200 Antibodies in Human Plasma Samples from ClinicalTrial ATB200-02 using a Validated Bridging Electrochemiluminescent Assay,2,2,No Less than Lower Bound
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Anti-ATB200 Antibodies in Human Plasma Samples from ClinicalTrial ATB200-02 using a Validated Bridging Electrochemiluminescent Assay,6,6,
Incubation,WsRepo : Confirmatory Worksheet for Detection of Anti-ATB200 Antibodies in Human Plasma Samples from ClinicalTrial ATB200-02 using a Validated Bridging Electrochemiluminescent Assay,7,7,Interval Duration
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Anti-ATB200 Antibodies in Human Plasma Samples from ClinicalTrial ATB200-02 using a Validated Bridging Electrochemiluminescent Assay,8,8,
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Anti-ATB200 Antibodies in Human Plasma Samples from ClinicalTrial ATB200-02 using a Validated Bridging Electrochemiluminescent Assay,9,9,
Incubation,WsRepo : Confirmatory Worksheet for Detection of Anti-ATB200 Antibodies in Human Plasma Samples from ClinicalTrial ATB200-02 using a Validated Bridging Electrochemiluminescent Assay,10,10,Interval Duration
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Anti-ATB200 Antibodies in Human Plasma Samples from ClinicalTrial ATB200-02 using a Validated Bridging Electrochemiluminescent Assay,11,11,
Customized Step,WsRepo : Confirmatory Worksheet for Detection of Anti-ATB200 Antibodies in Human Plasma Samples from ClinicalTrial ATB200-02 using a Validated Bridging Electrochemiluminescent Assay,12,12,
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Anti-ATB200 Antibodies in Human Plasma Samples from ClinicalTrial ATB200-02 using a Validated Bridging Electrochemiluminescent Assay,13,13,
Incubation,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM Antibodies in Human Serum Using an Electrochemiluminescent Method,1,1,Interval Duration
WashProgram Step,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM Antibodies in Human Serum Using an Electrochemiluminescent Method,2,2,
Incubation,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM Antibodies in Human Serum Using an Electrochemiluminescent Method,3,3,Interval Duration
Instructional Step,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM Antibodies in Human Serum Using an Electrochemiluminescent Method,4,4,
Instructional Step,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM Antibodies in Human Serum Using an Electrochemiluminescent Method,5,5,
WashProgram Step,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM Antibodies in Human Serum Using an Electrochemiluminescent Method,6,6,
Instructional Step,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM Antibodies in Human Serum Using an Electrochemiluminescent Method,7,7,
Incubation,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM Antibodies in Human Serum Using an Electrochemiluminescent Method,8,8,Interval Duration
WashProgram Step,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM Antibodies in Human Serum Using an Electrochemiluminescent Method,9,9,
Incubation,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM Antibodies in Human Serum Using an Electrochemiluminescent Method,10,10,Interval Duration
WashProgram Step,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM Antibodies in Human Serum Using an Electrochemiluminescent Method,11,11,
Customized Step,WsRepo : IgG worksheet for Characterization Assay for Determination of the Relative Titer of anti-PEG IgG and IgM Antibodies in Human Serum Using an Electrochemiluminescent Method,12,12,
Instructional Step,WsRepo : Anti-KTE-C19 Assay Worksheet: One Plate,1,1,
Instructional Step,WsRepo : Anti-KTE-C19 Assay Worksheet: One Plate,2,2,
Incubation,WsRepo : Anti-KTE-C19 Assay Worksheet: One Plate,3,3,Interval Duration
Instructional Step,WsRepo : Anti-KTE-C19 Assay Worksheet: One Plate,4,4,
Instructional Step,WsRepo : Anti-KTE-C19 Assay Worksheet: One Plate,5,5,
Instructional Step,WsRepo : Anti-KTE-C19 Assay Worksheet: One Plate,6,6,
Incubation,WsRepo : Anti-KTE-C19 Assay Worksheet: One Plate,7,7,Interval Duration
WashProgram Step,WsRepo : Anti-KTE-C19 Assay Worksheet: One Plate,8,8,
Incubation,WsRepo : Anti-KTE-C19 Assay Worksheet: One Plate,9,9,Interval Duration
WashProgram Step,WsRepo : Anti-KTE-C19 Assay Worksheet: One Plate,10,10,
Instructional Step,WsRepo : Anti-KTE-C19 Assay Worksheet: One Plate,11,11,
Customized Step,WsRepo : Worksheet Stepifier,1,1,
Customized Step,WsRepo : Worksheet Stepifier,shakerSpeed,Shaker Speed,
Instructional Step,WsRepo : BAL-20-388-043_PK - Assay Procedure,2,2,
Incubation,WsRepo : BAL-20-388-043_PK - Assay Procedure,3,3,No Less than Lower Bound
Instructional Step,WsRepo : BAL-20-388-043_PK - Assay Procedure,5,5,
Incubation,WsRepo : BAL-20-388-043_PK - Assay Procedure,6,6,Interval Duration
Instructional Step,WsRepo : BAL-20-388-043_PK - Assay Procedure,7,7,
Incubation,WsRepo : BAL-20-388-043_PK - Assay Procedure,8,8,Interval Duration
Instructional Step,WsRepo : BAL-20-388-043_PK - Assay Procedure,9,9,
Incubation,WsRepo : BAL-20-388-043_PK - Assay Procedure,10,10,Interval Duration
Instructional Step,WsRepo : BAL-20-388-043_PK - Assay Procedure,11,11,
Instructional Step,WsRepo : BAL-20-388-043_PK - Assay Procedure,12,12,
Instructional Step,WsRepo : BAL-20-388-043_PK - Assay Procedure,13,13,
Instructional Step,WsRepo : Worksheet for confirmatory for Validation of an Electrochemiluminescence Assay for the Detection of Anti-CB4332 Antibodies in Cynomolgus Plasma,1,1,
Incubation,WsRepo : Worksheet for confirmatory for Validation of an Electrochemiluminescence Assay for the Detection of Anti-CB4332 Antibodies in Cynomolgus Plasma,2,2,Interval Duration
Instructional Step,WsRepo : Worksheet for confirmatory for Validation of an Electrochemiluminescence Assay for the Detection of Anti-CB4332 Antibodies in Cynomolgus Plasma,3,3,
Incubation,WsRepo : Worksheet for confirmatory for Validation of an Electrochemiluminescence Assay for the Detection of Anti-CB4332 Antibodies in Cynomolgus Plasma,4,4,Interval Duration
Incubation,WsRepo : Worksheet for confirmatory for Validation of an Electrochemiluminescence Assay for the Detection of Anti-CB4332 Antibodies in Cynomolgus Plasma,5,5,Interval Duration
WashProgram Step,WsRepo : Worksheet for confirmatory for Validation of an Electrochemiluminescence Assay for the Detection of Anti-CB4332 Antibodies in Cynomolgus Plasma,6,6,
Incubation,WsRepo : Worksheet for confirmatory for Validation of an Electrochemiluminescence Assay for the Detection of Anti-CB4332 Antibodies in Cynomolgus Plasma,7,7,Interval Duration
WashProgram Step,WsRepo : Worksheet for confirmatory for Validation of an Electrochemiluminescence Assay for the Detection of Anti-CB4332 Antibodies in Cynomolgus Plasma,8,8,
Instructional Step,WsRepo : Worksheet for confirmatory for Validation of an Electrochemiluminescence Assay for the Detection of Anti-CB4332 Antibodies in Cynomolgus Plasma,9,9,
Instructional Step,WsRepo : Worksheet for confirmatory for Validation of an Electrochemiluminescence Assay for the Detection of Anti-CB4332 Antibodies in Cynomolgus Plasma,10,10,
Customized Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},1,1,
Instructional Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},2,2,
Instructional Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},3,3,
Customized Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},4,4,
Instructional Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},5,5,
Customized Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},6,6,
Instructional Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},7,7,
Customized Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},8,8,
Customized Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},9,9,
Instructional Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},10,10,
Instructional Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},11,11,
Instructional Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},12,12,
Customized Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},13,13,
Instructional Step,WsRepo : Anti-KTE-C19 Assay Worksheet: Two Plates,1,1,
Instructional Step,WsRepo : Anti-KTE-C19 Assay Worksheet: Two Plates,2,2,
Incubation,WsRepo : Anti-KTE-C19 Assay Worksheet: Two Plates,3,3,Interval Duration
Instructional Step,WsRepo : Anti-KTE-C19 Assay Worksheet: Two Plates,4,4,
Instructional Step,WsRepo : Anti-KTE-C19 Assay Worksheet: Two Plates,5,5,
Instructional Step,WsRepo : Anti-KTE-C19 Assay Worksheet: Two Plates,6,6,
Incubation,WsRepo : Anti-KTE-C19 Assay Worksheet: Two Plates,7,7,Interval Duration
WashProgram Step,WsRepo : Anti-KTE-C19 Assay Worksheet: Two Plates,8,8,
Incubation,WsRepo : Anti-KTE-C19 Assay Worksheet: Two Plates,9,9,Interval Duration
WashProgram Step,WsRepo : Anti-KTE-C19 Assay Worksheet: Two Plates,10,10,
Instructional Step,WsRepo : Anti-KTE-C19 Assay Worksheet: Two Plates,11,11,
Customized Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},14,14,
Customized Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},14,14,
Customized Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},14,14,
Customized Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},14,14,
Customized Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},15,15,
Instructional Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},16,16,
Instructional Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},17,17,
Instructional Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},18,18,
Interval Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},19,19,No Less than Lower Bound
Interval Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},19,19,No Less than Lower Bound
Instructional Step,WsRepo : SECTION A (Day 1): Cell plating in Etoposide and transducing cells with AAV9-FLuc  {26390545},20,20,
